time,bid,ask,last,volume,time_msc,flags,volume_real,difbidask,thedate
1661973678,0.59833,0.59835,0.0,0,1661973678730,2,0.0,0.020000000000020002,2022-09-01 02:21:18
1661973681,0.59833,0.59837,0.0,0,1661973681737,6,0.0,0.03999999999992898,2022-09-01 02:21:21
1661973683,0.59834,0.59837,0.0,0,1661973683137,2,0.0,0.02999999999997449,2022-09-01 02:21:23
1661973683,0.59834,0.59837,0.0,0,1661973683137,2,0.0,0.02999999999997449,2022-09-01 02:21:23
1661973687,0.59834,0.59837,0.0,0,1661973687035,4,0.0,0.02999999999997449,2022-09-01 02:21:27
1661973687,0.59834,0.59837,0.0,0,1661973687035,4,0.0,0.02999999999997449,2022-09-01 02:21:27
1661973691,0.59832,0.59837,0.0,0,1661973691666,6,0.0,0.04999999999999449,2022-09-01 02:21:31
1661973691,0.59832,0.59837,0.0,0,1661973691666,6,0.0,0.04999999999999449,2022-09-01 02:21:31
1661973695,0.59831,0.59836,0.0,0,1661973695636,2,0.0,0.04999999999999449,2022-09-01 02:21:35
1661973695,0.59832,0.59836,0.0,0,1661973695876,2,0.0,0.040000000000040004,2022-09-01 02:21:35
1661973699,0.59834,0.59837,0.0,0,1661973699083,2,0.0,0.02999999999997449,2022-09-01 02:21:39
1661973701,0.59834,0.59837,0.0,0,1661973701840,4,0.0,0.02999999999997449,2022-09-01 02:21:41
1661973702,0.59834,0.59838,0.0,0,1661973702862,4,0.0,0.040000000000040004,2022-09-01 02:21:42
1661973705,0.59834,0.59839,0.0,0,1661973705391,4,0.0,0.04999999999999449,2022-09-01 02:21:45
1661973707,0.59834,0.59839,0.0,0,1661973707766,4,0.0,0.04999999999999449,2022-09-01 02:21:47
1661973709,0.59835,0.59841,0.0,0,1661973709731,6,0.0,0.05999999999994898,2022-09-01 02:21:49
1661973711,0.59835,0.59839,0.0,0,1661973711559,6,0.0,0.03999999999992898,2022-09-01 02:21:51
1661973712,0.59834,0.59838,0.0,0,1661973712854,6,0.0,0.040000000000040004,2022-09-01 02:21:52
1661973715,0.59834,0.59837,0.0,0,1661973715705,2,0.0,0.02999999999997449,2022-09-01 02:21:55
1661973717,0.59834,0.59839,0.0,0,1661973717798,4,0.0,0.04999999999999449,2022-09-01 02:21:57
1661973718,0.59834,0.59838,0.0,0,1661973718338,4,0.0,0.040000000000040004,2022-09-01 02:21:58
1661973720,0.59834,0.59838,0.0,0,1661973720084,2,0.0,0.040000000000040004,2022-09-01 02:22:00
1661973723,0.59834,0.59839,0.0,0,1661973723717,4,0.0,0.04999999999999449,2022-09-01 02:22:03
1661973725,0.59834,0.59838,0.0,0,1661973725413,6,0.0,0.040000000000040004,2022-09-01 02:22:05
1661973726,0.59834,0.59838,0.0,0,1661973726737,6,0.0,0.040000000000040004,2022-09-01 02:22:06
1661973726,0.59834,0.59838,0.0,0,1661973726737,6,0.0,0.040000000000040004,2022-09-01 02:22:06
1661973726,0.59834,0.59838,0.0,0,1661973726737,6,0.0,0.040000000000040004,2022-09-01 02:22:06
1661973726,0.59834,0.59838,0.0,0,1661973726737,6,0.0,0.040000000000040004,2022-09-01 02:22:06
1661973735,0.59834,0.59837,0.0,0,1661973735605,4,0.0,0.02999999999997449,2022-09-01 02:22:15
1661973737,0.59834,0.59838,0.0,0,1661973737033,4,0.0,0.040000000000040004,2022-09-01 02:22:17
1661973737,0.59834,0.59838,0.0,0,1661973737033,4,0.0,0.040000000000040004,2022-09-01 02:22:17
1661973741,0.59832,0.59835,0.0,0,1661973741626,4,0.0,0.030000000000085514,2022-09-01 02:22:21
1661973743,0.59831,0.59836,0.0,0,1661973743891,6,0.0,0.04999999999999449,2022-09-01 02:22:23
1661973746,0.59834,0.59838,0.0,0,1661973746085,6,0.0,0.040000000000040004,2022-09-01 02:22:26
