Ticker,Category
WDC.NAS,"Computers, Phones & Household Electronics"
WRK.NYSE,Containers & Packaging
WHR.NYSE,Household Goods
WMB.NYSE,Oil & Gas Related Equipment and Services
WYNN.NAS,Hotels & Entertainment Services
XEL.NAS,Electrical Utilities & IPPs
XYL.NYSE,"Machinery, Equipment & Components"
YUM.NYSE,Hotels & Entertainment Services
ZBH.NYSE,Healthcare Equipment & Supplies
ZION.NAS,Banking Services
ZTS.NYSE,Pharmaceuticals
JKHY.NAS,Software & IT Services
LKQ.NAS,Automobiles & Auto Parts
MKTX.NAS,Investment Banking & Investment Services
ODFL.NAS,Freight & Logistics Services
POOL.NAS,Leisure Products
QRVO.NAS,Semiconductors & Semiconductor Equipment
RDWR.NAS,Software & IT Services
SBAC.NAS,Residential & Commercial REIT
SWKS.NAS,Semiconductors & Semiconductor Equipment
SIVB.NAS,Banking Services
SNPS.NAS,Software & IT Services
TTWO.NAS,Leisure Products
TSCO.NAS,Specialty Retailers
TRMB.NAS,Software & IT Services
VRSK.NAS,Software & IT Services
ZBRA.NAS,Electronic Equipment & Parts
RTX.NYSE,Aerospace & Defense
SNOW.NYSE,Software & IT Services
VMW.NYSE,Software & IT Services
SCCO.NYSE,Metals & Mining
CVNA.NYSE,Specialty Retailers
TDOC.NYSE,Healthcare Providers & Services
RKT.NYSE,Banking Services
PANW.NYSE,Software & IT Services
KKR.NYSE,Investment Banking & Investment Services
YUMC.NYSE,Hotels & Entertainment Services
PCG.NYSE,Electrical Utilities & IPPs
HUBS.NYSE,Software & IT Services
EPAM.NYSE,Software & IT Services
GNRC.NYSE,"Machinery, Equipment & Components"
CUK.NYSE,Hotels & Entertainment Services
ATUS.NYSE,Telecommunications Services
HEI.NYSE,Aerospace & Defense
INVH.NYSE,Residential & Commercial REIT
SUI.NYSE,Residential & Commercial REIT
ALLY.NYSE,Banking Services
OSH.NYSE,Healthcare Providers & Services
MKL.NYSE,Insurance
AVLR.NYSE,Software & IT Services
ESTC.NYSE,Software & IT Services
CRL.NYSE,Biotechnology & Medical Research
GDDY.NYSE,Software & IT Services
CDAY.NYSE,Software & IT Services
ELAN.NYSE,Pharmaceuticals
FICO.NYSE,Software & IT Services
SMG.NYSE,Chemicals
CCK.NYSE,Containers & Packaging
MPW.NYSE,Residential & Commercial REIT
MOH.NYSE,Healthcare Providers & Services
BRO.NYSE,Insurance
WPC.NYSE,Residential & Commercial REIT
TREX.NYSE,Homebuilding & Construction Supplies
EQH.NYSE,Investment Banking & Investment Services
FDS.NYSE,Professional & Commercial Services
NLY.NYSE,Residential & Commercial REIT
FNF.NYSE,Insurance
MTN.NYSE,Hotels & Entertainment Services
APO.NYSE,Investment Banking & Investment Services
WTRG.NYSE,Water Utilities
ELS.NYSE,Residential & Commercial REIT
BAH.NYSE,Software & IT Services
RPM.NYSE,Chemicals
DAR.NYSE,Food & Tobacco
WLK.NYSE,Chemicals
TTC.NYSE,"Machinery, Equipment & Components"
BFAM.NYSE,Personal & Household Products & Services
GWRE.NYSE,Software & IT Services
CPT.NYSE,Residential & Commercial REIT
SMAR.NYSE,Software & IT Services
LAD.NYSE,Specialty Retailers
MGP.NYSE,Healthcare Providers & Services
TWLO.NYSE,Software & IT Services
ABNB.NAS,Software & IT Services
AFRM.NAS,Financial Technology (Fintech) & Infrastructure
ALNY.NAS,Biotechnology & Medical Research
AMED.NAS,Healthcare Providers & Services
APPN.NAS,Software & IT Services
AZPN.NAS,Software & IT Services
BMRN.NAS,Pharmaceuticals
BSY.NAS,Software & IT Services
BYND.NAS,Food & Tobacco
CGNX.NAS,"Machinery, Equipment & Components"
COUP.NAS,Software & IT Services
CRWD.NAS,Software & IT Services
CSGP.NAS,Software & IT Services
CZR.NAS,Hotels & Entertainment Services
DBX.NAS,Software & IT Services
DDOG.NAS,Software & IT Services
DKNG.NAS,Hotels & Entertainment Services
DOCU.NAS,Software & IT Services
ENTG.NAS,Semiconductors & Semiconductor Equipment
ERIE.NAS,Insurance
EXAS.NAS,Biotechnology & Medical Research
EXPI.NAS,Real Estate Operations
FIVE.NAS,Passenger Transportation Services
FIVN.NAS,Software & IT Services
FSLR.NAS,Renewable Energy
FWONK.NAS,Media & Publishing
GDRX.NAS,Software & IT Services
GLPI.NAS,Residential & Commercial REIT
IAC.NAS,Software & IT Services
IBKR.NAS,Investment Banking & Investment Services
KDP.NAS,Beverages
LAZR.NAS,Automobiles & Auto Parts
LBRDA.NAS,Media & Publishing
LBRDK.NAS,Media & Publishing
LOGI.NAS,"Computers, Phones & Household Electronics"
LPLA.NAS,Investment Banking & Investment Services
LSXMK.NAS,Media & Publishing
MASI.NAS,Healthcare Equipment & Supplies
MDB.NAS,Software & IT Services
MORN.NAS,Professional & Commercial Services
MPWR.NAS,Semiconductors & Semiconductor Equipment
MRNA.NAS,Biotechnology & Medical Research
MRTX.NAS,Biotechnology & Medical Research
MTCH.NAS,Software & IT Services
NBIX.NAS,Biotechnology & Medical Research
NDSN.NAS,"Machinery, Equipment & Components"
NTRA.NAS,Healthcare Equipment & Supplies
NVAX.NAS,Biotechnology & Medical Research
OKTA.NAS,Software & IT Services
OLED.NAS,Semiconductors & Semiconductor Equipment
ON.NAS,Passenger Transportation Services
OPEN.NAS,Real Estate Operations
PCTY.NAS,Software & IT Services
PEGA.NAS,Software & IT Services
PLUG.NAS,Renewable Energy
PODD.NAS,Healthcare Equipment & Supplies
PTC.NAS,Software & IT Services
PTON.NAS,Leisure Products
RGEN.NAS,Healthcare Equipment & Supplies
ROKU.NAS,Media & Publishing
RPRX.NAS,Pharmaceuticals
RUN.NAS,Renewable Energy
SBNY.NAS,Banking Services
SGEN.NAS,Biotechnology & Medical Research
SIRI.NAS,Media & Publishing
SPLK.NAS,Software & IT Services
SPWR.NAS,Renewable Energy
SSNC.NAS,Software & IT Services
TECH.NAS,Biotechnology & Medical Research
TTD.NAS,Software & IT Services
WDAY.NAS,Software & IT Services
WISH.NAS,Software & IT Services
WMG.NAS,Media & Publishing
ZNGA.NAS,Software & IT Services
MUX.NYSE,Metals & Mining
BEST.NYSE,Freight & Logistics Services
PEI.NYSE,Residential & Commercial REIT
CIG.NYSE,Electrical Utilities & IPPs
LYG.NYSE,Banking Services
TTI.NYSE,Oil & Gas Related Equipment and Services
ABEV.NYSE,Beverages
BBAR.NYSE,Banking Services
KOS.NYSE,Oil & Gas
WMC.NYSE,Residential & Commercial REIT
GNW.NYSE,Insurance
CHS.NYSE,Specialty Retailers
RIG.NYSE,Oil & Gas Related Equipment and Services
WTI.NYSE,Oil & Gas
NOK.NYSE,Communications & Networking
MITT.NYSE,Residential & Commercial REIT
IVR.NYSE,Residential & Commercial REIT
MFA.NYSE,Residential & Commercial REIT
BRFS.NYSE,Food & Tobacco
BBD.NYSE,Banking Services
SWN.NYSE,Oil & Gas
AUY.NYSE,Metals & Mining
TEF.NYSE,Telecommunications Services
ITUB.NYSE,Banking Services
HMY.NYSE,Metals & Mining
HLX.NYSE,Oil & Gas Related Equipment and Services
EXK.NYSE,Metals & Mining
GCI.NYSE,Media & Publishing
ARCO.NYSE,Hotels & Entertainment Services
VHC.NYSE,Software & IT Services
CRK.NYSE,Oil & Gas
GGB.NYSE,Metals & Mining
CBD.NYSE,Food & Drug Retailing
PRTY.NYSE,Specialty Retailers
DHT.NYSE,Oil & Gas Related Equipment and Services
AMRX.NYSE,Pharmaceuticals
AIV.NYSE,Residential & Commercial REIT
BKD.NYSE,Healthcare Providers & Services
FSM.NYSE,Metals & Mining
CORR.NYSE,Residential & Commercial REIT
KGC.NYSE,Metals & Mining
SBS.NYSE,Water Utilities
GOL.NYSE,Passenger Transportation Services
AGRO.NYSE,Food & Tobacco
PBI.NYSE,Office Equipment
PBR.NYSE,Oil & Gas
COTY.NYSE,Personal & Household Products & Services
ADT.NYSE,Communications & Networking
UMC.NYSE,Semiconductors & Semiconductor Equipment
NVGS.NYSE,Oil & Gas Related Equipment and Services
CDE.NYSE,Metals & Mining
AXL.NYSE,Automobiles & Auto Parts
AROC.NYSE,Oil & Gas Related Equipment and Services
TWI.NYSE,Automobiles & Auto Parts
CMRE.NYSE,Freight & Logistics Services
DNOW.NYSE,"Machinery, Equipment & Components"
RYAM.NYSE,Chemicals
RRC.NYSE,Oil & Gas
GFI.NYSE,Metals & Mining
PGRE.NYSE,Residential & Commercial REIT
LFC.NYSE,Insurance
DRH.NYSE,Residential & Commercial REIT
CTT.NYSE,Residential & Commercial REIT
BCS.NYSE,Banking Services
RWT.NYSE,Residential & Commercial REIT
PUMP.NYSE,Oil & Gas Related Equipment and Services
SOL.NYSE,Construction & Engineering
NRZ.NYSE,Oil & Gas
EGO.NYSE,Metals & Mining
FBP.NYSE,Banking Services
RFP.NYSE,Paper & Forest Products
ESRT.NYSE,Residential & Commercial REIT
FPI.NYSE,Residential & Commercial REIT
TEVA.NYSE,Pharmaceuticals
LXP.NYSE,Residential & Commercial REIT
LBRT.NYSE,Oil & Gas Related Equipment and Services
HYLN.NYSE,Automobiles & Auto Parts
USX.NYSE,Freight & Logistics Services
MGY.NYSE,Oil & Gas
SLCA.NYSE,Metals & Mining
TALO.NYSE,Oil & Gas
CYH.NYSE,Healthcare Providers & Services
SHO.NYSE,Residential & Commercial REIT
CIM.NYSE,Residential & Commercial REIT
BDN.NYSE,Residential & Commercial REIT
SCM.NYSE,Collective Investments
RGS.NYSE,Personal & Household Products & Services
CARS.NYSE,Software & IT Services
CLDT.NYSE,Residential & Commercial REIT
GMRE.NYSE,Residential & Commercial REIT
SITC.NYSE,Residential & Commercial REIT
DBD.NYSE,"Computers, Phones & Household Electronics"
AMX.NYSE,Telecommunications Services
MWA.NYSE,"Machinery, Equipment & Components"
SCS.NYSE,Professional & Commercial Services
EVRI.NYSE,Hotels & Entertainment Services
PBF.NYSE,Oil & Gas
EDU.NYSE,Miscellaneous Educational Service Providers
CNX.NYSE,Oil & Gas
YEXT.NYSE,Software & IT Services
KAR.NYSE,Specialty Retailers
VLRS.NYSE,Passenger Transportation Services
ZUO.NYSE,Software & IT Services
MNRL.NYSE,Oil & Gas
IRT.NYSE,Residential & Commercial REIT
CLI.NYSE,Real Estate Operations
RLJ.NYSE,Residential & Commercial REIT
KRO.NYSE,Chemicals
FSR.NYSE,Automobiles & Auto Parts
IGT.NYSE,Hotels & Entertainment Services
MUR.NYSE,Oil & Gas
HTGC.NYSE,Investment Banking & Investment Services
MANU.NYSE,Hotels & Entertainment Services
SWCH.NYSE,"Computers, Phones & Household Electronics"
LTHM.NYSE,Chemicals
AMWL.NYSE,Healthcare Providers & Services
CCJ.NYSE,Uranium
TAK.NYSE,Pharmaceuticals
HSC.NYSE,Professional & Commercial Services
PDM.NYSE,Residential & Commercial REIT
SM.NYSE,Oil & Gas
VST.NYSE,Electrical Utilities & IPPs
DBI.NYSE,Specialty Retailers
EQT.NYSE,Oil & Gas
CCU.NYSE,Beverages
CLF.NYSE,Metals & Mining
TPC.NYSE,Construction & Engineering
STNG.NYSE,Oil & Gas Related Equipment and Services
